Flex1,Flex2,Flex3,Flex4,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z
0,299,289,276,-1444,-3548,14364,453,18,-310
0,300,288,277,-1300,-3428,14076,105,-132,-376
0,300,288,276,-1240,-3624,14864,-183,988,-791
0,300,289,277,-1176,-3640,14656,-1763,-307,-1157
0,300,289,277,-1036,-3704,14420,253,161,-300
0,300,288,277,-1120,-3764,14556,-95,33,-331
0,299,288,276,-1100,-3836,14520,629,610,-192
0,298,288,276,-1116,-3908,14608,-172,178,-356
0,300,289,277,-1060,-3744,14356,378,518,-306
0,300,288,276,-984,-3844,14536,-350,212,-393
0,299,288,277,-1244,-3728,14268,362,317,-121
0,300,289,277,-1156,-3700,14304,232,157,-103
0,300,289,276,-1108,-3816,14304,59,45,-228
0,300,288,277,-1104,-3552,14476,-131,193,-354
0,300,289,277,-1264,-3952,14112,548,343,-115
0,300,289,277,-1032,-4020,14316,-103,3,-408
0,299,290,277,-1004,-3600,14136,53,53,-293
0,299,288,277,-1188,-3528,14312,-66,128,-292
0,299,286,277,-1136,-3776,14316,187,-10,-200
0,300,289,277,-1140,-3780,14328,-54,148,-418
0,299,288,277,-1116,-4072,14112,198,88,-362
0,299,288,277,-1100,-3792,14336,-155,124,-349
0,300,288,277,-856,-3600,14180,-235,0,-350
0,300,288,277,-1128,-4160,14460,-1219,54,-785
0,299,288,276,-1244,-3940,14128,-257,183,-332
0,300,288,277,-1196,-3828,14252,327,178,-318
0,299,289,277,-1068,-3904,14436,-122,35,-248
0,300,289,277,-1180,-2984,15184,413,600,-616
0,300,289,276,-1176,-4732,14348,-115,-165,-146
0,301,289,275,-1128,-3752,14368,-185,-161,-483
0,299,287,276,-1132,-3980,14176,117,42,-163
0,300,289,277,-1032,-3924,14120,-155,172,-320
0,301,288,277,-1100,-4132,14008,17,290,-278
0,300,288,276,-1220,-3888,14284,394,119,-124
0,300,288,276,-1108,-4220,14240,-28,81,-230
0,300,288,276,-1164,-3932,14024,-106,67,-371
0,300,289,276,-1084,-3856,14048,298,238,-175
0,300,288,276,-1048,-4132,14544,143,479,-220
0,300,289,277,-924,-4160,14164,-107,283,-365
0,300,288,277,-1016,-3996,14028,-377,-300,-316
0,300,289,277,-1056,-4032,14084,563,272,-254
0,300,289,276,-860,-3996,14020,53,143,-157
0,300,288,277,-948,-4052,14200,121,409,-517
0,300,289,277,-1064,-4012,14308,-126,89,-86
0,300,288,277,-968,-3956,15060,-162,-124,439
0,300,289,277,-1412,-3628,13944,-1030,450,-862
0,300,289,277,-1136,-4580,14396,38,-482,-36
0,299,288,278,-1144,-3624,14028,475,622,-343
0,300,288,277,-1200,-4012,14144,417,602,-223
0,300,289,277,-996,-3432,14616,219,-268,283
0,299,289,277,-1048,-3820,14288,74,115,-67
0,300,289,277,-824,-3216,13500,1006,3274,-3890
0,300,289,277,-836,-4640,14588,-650,-351,-458
0,300,289,277,-540,-3952,14340,337,82,-211
0,300,288,277,-1004,-4088,13872,188,846,-263
0,300,288,277,-1072,-4664,14428,-432,193,-482
0,300,288,277,-772,-4536,14384,439,450,-207
0,300,289,277,-1164,-4076,14284,339,-18,-265
0,299,289,277,-840,-4304,14396,146,137,-206
0,299,288,277,-1060,-5284,14964,-1649,40,-1183
0,300,289,277,-1152,-3720,14376,-259,-204,-261
0,300,289,276,-1020,-4392,14292,434,436,-225
0,300,289,277,-948,-4120,14068,-49,-31,-343
0,300,289,277,-776,-4056,14168,-260,2,-411
0,300,288,277,-720,-4304,13964,14,43,-209
0,300,288,277,-856,-4240,14200,-175,128,-300
0,301,288,277,-748,-4288,14148,278,177,-120
0,300,288,278,-676,-4304,14396,492,0,-148
0,300,289,277,-688,-4296,14392,-274,85,-288
0,300,288,277,-908,-4140,14084,15,178,73
0,299,288,277,-832,-4076,14204,-81,300,-513
